,precision,recall,f1-score,support
Apple___Apple_scab,0.9861111111111112,0.9861111111111112,0.9861111111111112,504.0
Apple___Black_rot,0.9880715705765407,1.0,0.994,497.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,440.0
Apple___healthy,0.9920634920634921,0.9960159362549801,0.9940357852882704,502.0
Blueberry___healthy,0.9978021978021978,1.0,0.9988998899889989,454.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.995249406175772,0.9976190476190476,421.0
Cherry_(including_sour)___healthy,1.0,0.9978070175438597,0.9989023051591658,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9716494845360825,0.9195121951219513,0.9448621553884712,410.0
Corn_(maize)___Common_rust_,1.0,0.9979035639412998,0.9989506820566632,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9230769230769231,0.9811320754716981,0.9512195121951219,477.0
Corn_(maize)___healthy,0.9978448275862069,0.9956989247311828,0.9967707212055974,465.0
Grape___Black_rot,0.9936575052854123,0.9957627118644068,0.9947089947089947,472.0
Grape___Esca_(Black_Measles),0.9958246346555324,0.99375,0.9947862356621481,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9976798143851509,1.0,0.9988385598141696,430.0
Grape___healthy,1.0,0.9952718676122931,0.9976303317535545,423.0
Orange___Haunglongbing_(Citrus_greening),0.9980119284294234,0.9980119284294234,0.9980119284294234,503.0
Peach___Bacterial_spot,0.995575221238938,0.9803921568627451,0.9879253567508233,459.0
Peach___healthy,0.9817351598173516,0.9953703703703703,0.9885057471264368,432.0
"Pepper,_bell___Bacterial_spot",0.99375,0.997907949790795,0.9958246346555324,478.0
"Pepper,_bell___healthy",0.9918864097363083,0.9839034205231388,0.9878787878787879,497.0
Potato___Early_blight,0.9877800407331976,1.0,0.9938524590163934,485.0
Potato___Late_blight,0.9775967413441955,0.9896907216494846,0.9836065573770492,485.0
Potato___healthy,1.0,0.9824561403508771,0.9911504424778761,456.0
Raspberry___healthy,0.9977528089887641,0.9977528089887641,0.9977528089887641,445.0
Soybean___healthy,0.9901768172888016,0.998019801980198,0.9940828402366864,505.0
Squash___Powdery_mildew,1.0,1.0,1.0,434.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,444.0
Strawberry___healthy,0.9978070175438597,0.9978070175438597,0.9978070175438597,456.0
Tomato___Bacterial_spot,0.9691943127962085,0.9623529411764706,0.9657615112160567,425.0
Tomato___Early_blight,0.9730392156862745,0.8270833333333333,0.8941441441441441,480.0
Tomato___Late_blight,0.9364406779661016,0.9546436285097192,0.9454545454545454,463.0
Tomato___Leaf_Mold,0.9806451612903225,0.9702127659574468,0.9754010695187165,470.0
Tomato___Septoria_leaf_spot,0.9090909090909091,0.9403669724770642,0.9244644870349493,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9072398190045249,0.9218390804597701,0.9144811858608894,435.0
Tomato___Target_Spot,0.8551020408163266,0.9168490153172867,0.8848996832101372,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.963265306122449,0.9812889812889813,490.0
Tomato___Tomato_mosaic_virus,0.9977064220183486,0.9709821428571429,0.9841628959276018,448.0
Tomato___healthy,0.9393346379647749,0.997920997920998,0.967741935483871,481.0
accuracy,0.9792283177782837,0.9792283177782837,0.9792283177782837,0.9792283177782837
macro avg,0.9795696553377179,0.978974823959208,0.9789877460940221,17572.0
weighted avg,0.9797467756745539,0.9792283177782837,0.9791979469970837,17572.0
