class_name,train_count,valid_count
Apple___Apple_scab,2016,504
Apple___Black_rot,1987,497
Apple___Cedar_apple_rust,1760,440
Apple___healthy,2008,502
Blueberry___healthy,1816,454
Cherry_(including_sour)___Powdery_mildew,1683,421
Cherry_(including_sour)___healthy,1826,456
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1642,410
Corn_(maize)___Common_rust_,1907,477
Corn_(maize)___Northern_Leaf_Blight,1908,477
Corn_(maize)___healthy,1859,465
Grape___Black_rot,1888,472
Grape___Esca_(Black_Measles),1920,480
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1722,430
Grape___healthy,1692,423
Orange___Haunglongbing_(Citrus_greening),2010,503
Peach___Bacterial_spot,1838,459
Peach___healthy,1728,432
"Pepper,_bell___Bacterial_spot",1913,478
"Pepper,_bell___healthy",1988,497
Potato___Early_blight,1939,485
Potato___Late_blight,1939,485
Potato___healthy,1824,456
Raspberry___healthy,1781,445
Soybean___healthy,2022,505
Squash___Powdery_mildew,1736,434
Strawberry___Leaf_scorch,1774,444
Strawberry___healthy,1824,456
Tomato___Bacterial_spot,1702,425
Tomato___Early_blight,1920,480
Tomato___Late_blight,1851,463
Tomato___Leaf_Mold,1882,470
Tomato___Septoria_leaf_spot,1745,436
Tomato___Spider_mites Two-spotted_spider_mite,1741,435
Tomato___Target_Spot,1827,457
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1961,490
Tomato___Tomato_mosaic_virus,1790,448
Tomato___healthy,1926,481
